,B cell,Conventional dendritic cell,Endothelial A,Endothelial B,Epithelial crypt,Epithelial other,Epithelial villi,Glial,Macrophage,Malignancy epithelial A,Malignancy epithelial B,Mast cell,Monocyte,Neutrophil,NK cell,Pericyte,Plasma,Plasmablast,Plasmacytoid dendritic cell,Smooth muscle,Stroma A,Stroma B.1,Stroma B.2,Stroma C,Stroma D,T cell CD4,T cell CD8,T cell regulatory
ABCB9,0.0239857651245552,0.0127195512820513,0.0190784463061691,0.0254528985507246,0.00875997099347353,0.0079646017699115,0.00891936481748814,0.0269928440672325,0.0183780450200432,0.0840668844897175,0.0687764217914971,0.0182668904741922,0.0163143382352941,0.0159812789230122,0.00196506550218341,0.0122650254931246,0.0127377936720807,0.0153994629070158,0.00183615819209039,0.00296689824274622,0.00386779184247539,0.00378579295154185,0.020263863121006,0.0121434029546612,0.00972936195947989,0,0.0173097534833869,0.0149787550922073
ABCC1,0.036085409252669,0.0240977564102564,0.0146991622239147,0.0292572463768116,0.00276528885665941,0,0,0.023622898984856,0.0399629972247919,0.120850396960334,0.12592725532424,0.0315274863617289,0.00551470588235294,0.00483277240218763,0,0.0108744914250399,0.0222247057070481,0.0152316213494461,0,0.0106089088680016,0,0.00433645374449339,0.0272727272727273,0.0140537442689761,0.01577713940127,0,0.0508038585209003,0.0401660169083184
ABCC3,0.038932384341637,0.0353157051282051,0.0255521706016756,0.0331521739130435,0.15248730964467,0.0541789577187807,0.193905959991751,0.0841987019470794,0.100161030595813,0.512503141678617,0.715143176198453,0.0196936634494335,0.0257352941176471,0.0234486748001683,0.0121542940320233,0.0212262450430036,0.0170590572691601,0.00633601879825445,0.0159604519774011,0.0102819779321618,0.0165260196905767,0.0197549559471366,0.0734487734487735,0.0269167091186959,0.0392122769882068,0.00972222222222222,0.0240085744908896,0.019183932717158
ABCC4,0.0282562277580071,0.0158605769230769,0.0101294744859101,0.0324275362318841,0.00764805414551607,0,0.000670241286863269,0.00781328007988018,0.0150889094459862,0.0708348733718713,0.0344380633325357,0.031863197650021,0.000689338235294117,0.00462242322254943,0,0.0017587680898182,0.012837133065117,0,0.00466101694915254,0.0117940335104209,0.0123066104078762,0.0376514317180617,0.027891156462585,0.0060303107488538,0.0174402781977623,0.00277777777777778,0.0159699892818864,0.00766349818213675
ABCC8,0.00690391459074733,0.0103798076923077,0.0162223914699162,0.0211050724637681,0.00329707517524776,0.00403146509341199,0.00273252216951949,0.0160509236145781,0.0114914174118614,0.032410295835243,0.0531825795644891,0.012224087284935,0.00620404411764706,0.00903975599495162,0.00778748180494905,0.0119560179224391,0.0106516664183182,0.0115391070829137,0.0216101694915254,0.00660400490396404,0.0123066104078762,0,0.025417439703154,0.014181100356597,0.0109389174478379,0,0.0103429796355841,0.00985369486179859
ABCC9,0.0125978647686833,0.0105080128205128,0.0150799695354151,0.0421195652173913,0.000106357263717669,0,0.0047948030521757,0.00714761191546014,0.0137526981190256,0.0140628927098272,0.0212371380713089,0.0107973143096937,0.00551470588235294,0.00535864535128313,0.00487627365356623,0.0719034866354226,0.0104033179357274,0.00767875125881168,0.013135593220339,0.0146955455659992,0.0109001406469761,0.00378579295154185,0.0118119975262832,0.0281902699949058,0.0147187783489568,0.00277777777777778,0.00793140407288317,0.00718165491261115
ABCD1,0.040355871886121,0.0421746794871795,0.0485910129474486,0.0456521739130435,0.0230215131737974,0.0266470009832842,0.0257269540111363,0.0343984023964054,0.0579504573954158,0.116104614201866,0.0943008694264976,0.0442005874947545,0.0420496323529412,0.0335454354228018,0.00487627365356623,0.0313204923520626,0.0330030298514876,0.034701242027526,0.0216101694915254,0.0187004495300368,0.0137130801687764,0.0150743392070485,0.0297464440321583,0.0355769230769231,0.0330133051103719,0,0.0352625937834941,0.0353913881466556
ABCE1,0.0496085409252669,0.0210208333333333,0.028027418126428,0.0680253623188406,0.0180420594633793,0.00993117010816126,0.00448546091977727,0.0346064236977867,0.0283139754000069,0.155327547716554,0.103513599744756,0.0186026017624843,0.00551470588235294,0.00651556583929323,0,0.031114487304939,0.0235657875130383,0.0187562940584089,0.00748587570621469,0.0130200245198202,0.0319971870604782,0.0103937224669604,0.0225314368171511,0.025515792154865,0.0254535833081343,0.00277777777777778,0.0414255091103966,0.0254478952209908
ABCG1,0.0531672597864769,0.0615336538461538,0.13008377760853,0.183876811594203,0.039555233260817,0.0581120943952802,0.0998659517426273,0.0474621401231486,0.152513105149553,0.130430668697053,0.180605407992343,0.0429416701636593,0.0319393382352941,0.0276556583929323,0.00342066957787482,0.0232862955142401,0.0327546813688968,0.0175814031554213,0.0300847457627119,0.0180057212913772,0.0277777777777778,0.0170016519823789,0.0363430220573078,0.0236054508405502,0.025,0,0.0521436227224009,0.0395965657716063
ABHD12,0.0140213523131673,0.0159246794871795,0,0.00625,0,0.00206489675516224,0.00293875025778511,0.0167165917789982,0.063192517216569,0.0955839086917311,0.103154662199888,0.00391523289970625,0.00298713235294117,0,0,0.00490034505845393,0.00787016341330154,0.00197213830144344,0.00748587570621469,0,0.00668073136427567,0,0.0111935683364255,0.00170020376974019,0.00428636226186876,0.00972222222222222,0.00632368703108253,0.00135573174471067
ABHD2,0.0488967971530249,0.0684887820512821,0.080959634424981,0.0855978260869565,0.0699637418419144,0.0689282202556539,0.0794493710043308,0.111532700948577,0.17526295953678,0.269906414938127,0.598328946318896,0.0771002937473773,0.0422794117647059,0.036911022297013,0.0136098981077147,0.122374723180718,0.0504867630258779,0.035204766700235,0.0357344632768362,0.0376624438087454,0.0193389592123769,0.0340721365638766,0.0983920841063698,0.0742931737137035,0.0546341094647717,0,0.0805466237942122,0.0411297034473696
ABHD3,0.0261209964412811,0.0183285256410256,0.00898705255140899,0.0167572463768116,0.0266956731931351,0.0138643067846608,0.0484120437203547,0.0241637543684473,0.0356802686127385,0.156643356643357,0.150135598628061,0.0144901384809064,0.0204503676470588,0.0217658813630627,0.00342066957787482,0.01144100530463,0.0158173148562062,0.0175814031554213,0.0103107344632768,0.000555782590927666,0.00246132208157525,0.002409140969163,0.0194392908678623,0.0070491594498217,0.0109389174478379,0.00277777777777778,0.0293676312968917,0.0149787550922073
ABHD5,0.00832740213523132,0.0126554487179487,0.0143183549124143,0.0118659420289855,0.00421561518008218,0.00501474926253687,0.00768199628789441,0.0191296388750208,0.0274574296775962,0.0802377326690223,0.0600422748663955,0.012308015107008,0.0234375,0.0319678165755154,0,0.0119560179224391,0.00672776039338399,0.000629405840886204,0,0.00701266857376379,0.00668073136427567,0.00653909691629956,0.0126365697794269,0.0243695873662761,0.0107877230117932,0.00277777777777778,0.00337620578778135,0.00709404704542468
ABHD6,0.0254092526690391,0.0210208333333333,0.0213632901751714,0.0332427536231884,0.0134977036499879,0.0128810226155359,0.0210868220251598,0.0244965884506573,0.0433206564566417,0.058785611851151,0.0737217835207785,0.0170079731430969,0.0147058823529412,0.0107225494320572,0.00487627365356623,0.0139130658701138,0.0129861421546714,0.0065038603558241,0.0159604519774011,0.0148181446669391,0.0249648382559775,0.00626376651982379,0.0219130076272933,0.0208036169128884,0.0129044451164197,0,0.0181136120042872,0.0104231459985107
ABI1,0.13288256227758,0.0884567307692308,0.0761995430312262,0.119565217391304,0.0857722987672226,0.0748279252704031,0.0816147659311198,0.14169578964886,0.166183574879227,0.526134330785494,0.584011326473638,0.0575451112043642,0.0576746323529412,0.0412231804795961,0.0106986899563319,0.0712854714940516,0.0706526598122485,0.0818647197045989,0.0357344632768362,0.035046996322027,0.0207454289732771,0.0431580396475771,0.10849309420738,0.0523879266428935,0.0579603870577563,0,0.118327974276527,0.0778373997985019
ABI2,0.0268327402135231,0.0200272435897436,0.0390708301599391,0.0589673913043478,0.0223446942228668,0.0109144542772861,0.0192307692307692,0.0487102679314362,0.0274916915064926,0.151853220774997,0.103194544149318,0.0204490138480906,0.0147058823529412,0.0179795961295751,0.00633187772925764,0.0530025235618273,0.0206352754184672,0.0127139979859013,0.013135593220339,0.0270780547609318,0.0207454289732771,0.0175523127753304,0.0390228818800247,0.0409258787570046,0.0367931660114908,0,0.0280278670953912,0.0222064041350913
ABI3BP,0.0318149466192171,0.0190016025641026,0.0287890327494288,0.0257246376811594,0.0064394488759971,0.00894788593903638,0.0075788822437616,0.0138042935596605,0.0277315243087676,0.0203314655745945,0.038107202680067,0.0143222828367604,0.00620404411764706,0.00462242322254943,0.0106986899563319,0.0145825822732657,0.0185988178612229,0.00633601879825445,0.00748587570621469,0.0209889660809154,0.0179324894514768,0.0134223568281938,0.0171717171717172,0.107278400407539,0.0627986090111884,0,0.029903536977492,0.0234767182092952
ABL1,0.0125978647686833,0.0182323717948718,0.0345011424219345,0.0510869565217391,0.0293546047860769,0.0079646017699115,0.0135594968034646,0.0377267432185056,0.032665227669853,0.159141915167285,0.101240328627263,0.0211204364246748,0.00758272058823529,0.00462242322254943,0.00196506550218341,0.0458438481742803,0.0239134753886654,0.00381839543470964,0,0.0313281569268492,0.00808720112517581,0.0335214757709251,0.043558029272315,0.069071574121243,0.0420849712730571,0.00972222222222222,0.0229367631296892,0.0143216960883087
ABL2,0.0239857651245552,0.0238092948717949,0.040974866717441,0.0904891304347826,0.010065264684554,0.0158308751229105,0.00427923283151165,0.0287818272591113,0.0424983725631274,0.0703469891630568,0.100881391082396,0.0177633235417541,0.0250459558823529,0.0119846445098864,0.00342066957787482,0.0285394242158933,0.0265459693041275,0.0212739174219537,0.00183615819209039,0.00913771965672252,0.00527426160337553,0.00929240088105727,0.0369614512471655,0.036850483953133,0.0203129724826126,0.00277777777777778,0.0258842443729904,0.0190087169827851
