num_cells,cell_type
12431,Astrocyte A
9731,Astrocyte B
17642,Endothelial
2715,Inhibitory neuron A
913,Inhibitory neuron B
6270,Inhibitory neuron C
14449,L2/3 neuron
8801,L4 neuron
7609,L6 neuron
3177,Microglia A
8850,Microglia B
83137,Oligodendrocyte
5747,Oligodendrocyte precursor cell
