num_cells,cell_type
13319,B cell
21851,Dendritic cell
43106,Endothelial
406763,Fibroblast
126355,Macrophage
11028,Mast cell
8702,Monocyte
7285,Neutrophil
19683,NK cell
34302,Plasma
18156,Plasmablast
11175,Plasmacytoid dendritic cell
1243,T cell CD4
9487,T cell CD8
3444,T cell regulatory
