,B cell,Conventional dendritic cell,Endothelial A,Endothelial B,Epithelial,Fibroblast,Lung cell,Macrophage,Malignancy,Monocyte,Myeloid,Neutrophil,NK cell,Plasma,Plasmablast,Plasmacytoid dendritic cell,T cell CD4,T cell CD8,T cell regulatory
ABCB10,0.0389920680982782,0.0415770609318996,0.0156657963446475,0.0288493241015496,0.0340796929263389,0.0294330791877406,0.0287699020208206,0.0203246456332876,0.0716880751533742,0.00655172413793103,0.0379837027122781,0.0153105590062112,0.0379645710316082,0.0171729191457381,0.0043205574912892,0.0188679245283019,0.0354950023798191,0.0343014467717556,0.0408052884615385
ABCB7,0.0055233120526214,0.0254480286738351,0.02088772845953,0.00609957138147049,0.00730213854871139,0.00799426285196648,0.00955679730557257,0.0047782350251486,0.0285515720858896,0,0.0133015785537141,0.000403726708074533,0.0179923584577978,0.00320661364063381,0.00780487804878049,0.00157232704402516,0.0119347929557354,0.0116281580652127,0.0149639423076923
ABCB8,0.0163571290384987,0.0111111111111111,0.0261096605744125,0.0176393010220903,0.0204624383110949,0.021355778666868,0.026243876301286,0.0130086877000457,0.103321510736196,0,0.00987678620635358,0.00537267080745341,0.023723515109413,0.0156071898290224,0.0133797909407666,0.0157232704402516,0.0200261780104712,0.029766789030447,0.02578125
ABCB9,0.0206132714258077,0.0308243727598566,0,0.0156610616551269,0.012968378724182,0.0164490073224126,0.0113939069197795,0.0184956561499771,0.0580761119631902,0,0.018497815218675,0.0134472049689441,0.0157346300798888,0.0137909438216321,0.00850174216027874,0.0110062893081761,0.0221680152308425,0.0144353271431656,0.0131610576923077
ABCC1,0.0685916037918359,0.0541218637992831,0.0391644908616188,0.0465710517639301,0.0232955583988302,0.0575903978259228,0.0467582669932639,0.0518747142203932,0.197550805214724,0.0686206896551724,0.0538479707121206,0.00909937888198758,0.0799930531434526,0.037777916953717,0.0287108013937282,0.020440251572327,0.170668729176583,0.0811595767652775,0.124338942307692
ABCC3,0.0268040239891662,0.0388888888888889,0.0443864229765013,0.0163204747774481,0.0356333394260647,0.059553106363705,0.0459162584200857,0.0825102880658436,0.613290835889571,0,0.0955359603196473,0.0221428571428571,0.0129558874609239,0.0286340577440972,0.0175609756097561,0,0.0183603046168491,0.0111962858993738,0.0137620192307692
ABCC4,0.00571677307022635,0.0550179211469534,0.010443864229765,0.0681668315199472,0.010409431548163,0.0273948818600438,0.0386443661971831,0.01986739826246,0.126806940184049,0,0.00991615163563359,0.00164596273291925,0.00913511635984717,0.00652595979207115,0,0.00943396226415094,0.0143146120894812,0.00882098898725977,0.0161658653846154
ABCC8,0.00455600696459663,0.0129032258064516,0.0130548302872063,0.0223376195186284,0.00849022116614878,0.0041443345663169,0.0113939069197795,0,0.0107218174846626,0.0272413793103448,0.00326339408731252,0.0109627329192547,0.00392497394928795,0.00909375587148494,0.000836236933797908,0.00786163522012578,0.000987624940504521,0.00687756424098467,0.00474759615384615
ABCC9,0.0146159798800542,0.0209677419354839,0.14621409921671,0.0352786020441807,0.0720983366843356,0.0621952140107194,0.0215745560318432,0.0271833561957019,0.0155147622699386,0.0479310344827586,0.012711097114514,0.00661490683229814,0.0221604723862452,0.0349596041836287,0.0154703832752613,0.0235849056603774,0.0112208472156116,0.0096847333189376,0.0167668269230769
ABCD1,0.0333816985877346,0.0353046594982079,0.031331592689295,0.0468183316848005,0.0557393529519283,0.0285272137087642,0.0420124004898959,0.0299268404206676,0.0580761119631902,0.00655172413793103,0.0477856946029997,0.0289751552795031,0.0320597429663077,0.0318281455501973,0.0328919860627178,0.0471698113207547,0.0383507853403141,0.0265277477866551,0.0311899038461538
ABCE1,0.0208067324434127,0.0335125448028674,0.031331592689295,0.0224200461589186,0.0164412356059221,0.0336604514229637,0.0198905388854868,0.0372427983539095,0.164767062883436,0.00655172413793103,0.0290083848364366,0,0.0277179576241751,0.0223085113045657,0.0175609756097561,0.0157232704402516,0.0400166587339362,0.0366767436838696,0.0329927884615385
ABCG1,0.0538885664538595,0.0818996415770609,0.216710182767624,0.150181338608638,0.0357247303966368,0.0200724692383181,0.0414000306184936,0.0532464563328761,0.0580761119631902,0.0272413793103448,0.168204542770539,0.0457453416149068,0.0515109412990622,0.0241873864846245,0.0259233449477352,0.0267295597484277,0.0416825321275583,0.0712265169509825,0.0432091346153846
ABHD12,0.0509866511897853,0.0702508960573477,0.0234986945169713,0.0269535113748764,0.0200054834582343,0.0264135275911527,0.0384912737293325,0.091655235482396,0.139268596625767,0,0.132933118135653,0.00475155279503106,0.021465786731504,0.0245005323479677,0.0168641114982578,0.020440251572327,0.0240718705378391,0.0280393003670913,0.0396033653846154
