num_cells,cell_type
164755,Acinar
94,B cell
132,Dendritic cell
10720,Endothelial
18360,Fibroblast
12547,Macrophage
6433,Mast cell
4095,Mesenchymal cell
2407,Monocyte
1122,Neutrophil
242,NK cell
2754,Pancreatic A cell
655,Pancreatic D cell
120347,Pancreatic ductal cell
3690,Plasmablast
84,Plasmacytoid dendritic cell
95,T cell CD4
729,T cell CD8
72,T cell regulatory
7882,Type B pancreatic cell
