,B cell,Endothelial,Fibroblast,Glomerular endothelium,Macrophage,Malignancy A,Malignancy B,Mast cell,Mesangial cell,Monocyte,Myofibroblast A,Myofibroblast B,Neutrophil,NK cell,Pelvic epithelium,Plasma,Plasmablast,Podocyte,Principal cell,Smooth muscle,T cell,Transitional urothelium,Tubule,Type A intercalated cell
ABCB1,0.0207460578959755,0.0247757847533632,0.0311658767772512,0.00056497175141243,0.015702479338843,0.31192033037942,0.163016616957818,0.00120481927710843,0.0157652880876635,0.0250806080147398,0.0171592039800995,0.0218826835265191,0.00704057279236277,0.0385341896486589,0,0.00985626283367557,0.0246717346233587,0.0261206896551724,0,0.0105990783410138,0.0244180187443313,0,0.0748123220295107,0
ABCB10,0.0289832901859261,0.0392478597635548,0.0412132701421801,0.00056497175141243,0.0231404958677686,0.126770197023144,0.0803579037068598,0.00120481927710843,0.0210675150229763,0.022316904652234,0.022134328358209,0.0218826835265191,0.0118138424821002,0.0253116735927465,0,0.035523613963039,0.0253628196268141,0,0,0.019431643625192,0.029053713594679,0,0.0473725084131504,0.0185714285714286
ABCB7,0.000976700400094139,0.00530982470444354,0.0137251184834123,0.00056497175141243,0.000550964187327823,0.052951045341134,0.0313591819343843,0,0.00127253446447508,0.0117227084292953,0,0.00221285563751317,0,0.0022667170381564,0,0,0,0,0,0,0.0028519600927139,0,0.00103546466476832,0.0185714285714286
ABCB8,0.0419275123558484,0.0564716673461068,0.0480379146919431,0.0175141242937853,0.0283746556473829,0.143203131721586,0.148103962505326,0.0855421686746988,0.0231884057971014,0.0190925840626439,0.0344726368159204,0.0211801896733404,0,0.0408009066868153,0,0.0386036960985626,0.0308914996544575,0.0330172413793103,0,0.0274961597542243,0.0401390708455104,0,0.0784364483561998,0.0185714285714286
ABCB9,0.0219228053659685,0.0284447615165104,0.0199810426540284,0.0175141242937853,0.012396694214876,0.057941151165792,0.05990626331487,0.0132530120481928,0.0164722516790385,0.0140257945647167,0.0123830845771144,0.0106427818756586,0,0.0302228938420854,0,0.0211498973305955,0.0125777470628887,0.00370689655172414,0,0.008678955453149,0.0171621485437872,0,0.0476313745793425,0.0185714285714286
ABCC1,0.0388679689338668,0.0625866286180188,0.0374218009478673,0.0231638418079096,0.0283746556473829,0.425230147122086,0.082062207072859,0.0855421686746988,0.0164722516790385,0.0218562874251497,0.0262139303482587,0.020828942746751,0.0165871121718377,0.0268228182848508,0,0.035523613963039,0.0346924671734623,0.0312931034482759,0.19,0.0155913978494624,0.0553562430716517,0,0.0489257054103029,0.104285714285714
ABCC3,0.0360437750058837,0.0814410925397472,0.0804549763033175,0.00056497175141243,0.0539944903581267,1.76154607244257,0.549041329356626,0.0253012048192771,0.0263697419582892,0.0513357899585445,0.035865671641791,0.0234632946961714,0.0094272076372315,0.0332451832262939,0,0.0283367556468173,0.0312370421561852,0.0623275862068965,0,0.0244239631336406,0.0249218986193691,0,0.269997411338338,0.0471428571428571
ABCC4,0.0226288538479642,0.0340501426824297,0.0381800947867299,0,0.0195592286501377,0.850163468983911,0.0893054963783554,0.0493975903614458,0.00692824319547543,0.0209350529709811,0.0156666666666667,0.0138040042149631,0,0.0215338118624858,0,0.0139630390143737,0.0136143745680719,0.014051724137931,0,0.00291858678955453,0.0170613725687796,0,0.115713176287859,0.332857142857143
ABCC8,0.0148623205460108,0.0194761516510395,0.0163791469194313,0.011864406779661,0.0110192837465565,0.0693839800395767,0.0633148700468683,0.00120481927710843,0.00904913396960057,0.0103408567480424,0.0121840796019901,0.00695468914646997,0.0213603818615752,0.00982244049867775,0,0.00882956878850103,0.0225984796129924,0.0123275862068965,0.19,0.0105990783410138,0.0102086062682656,0,0.0403831219259643,0.0185714285714286
ABCC9,0.0150976700400094,0.0291581736649001,0.156473933649289,0.00621468926553672,0.0242424242424242,0.0361739654134045,0.033915636983383,0.0132530120481928,0.0755037115588547,0.00988023952095808,0.058452736318408,0.0317175974710221,0.0022673031026253,0.0192670948243294,0,0.0437371663244353,0.0201796821008984,0.00198275862068965,0,0.0382488479262673,0.0186737881689005,0,0.0225213564587108,0
ABCD1,0.0525182395857849,0.0511720342437831,0.0510710900473934,0.0514124293785311,0.0410468319559229,0.176757291577046,0.135321687260332,0.0614457831325301,0.0171792152704136,0.0430446798710272,0.0311890547263682,0.0232876712328767,0.0523866348448687,0.0479788439743105,0,0.0498973305954825,0.0443676572218383,0.0364655172413793,0,0.0251920122887865,0.0322785447949209,0,0.0742945896971266,0
ABCE1,0.0374558719698753,0.0424072564207093,0.0493649289099526,0.0175141242937853,0.0115702479338843,0.115929622300611,0.0901576480613549,0.0253012048192771,0.0246023329798515,0.022316904652234,0.0273084577114428,0.0217070600632244,0.00465393794749403,0.0389119758216849,0,0.0232032854209446,0.0302004146510021,0.020948275862069,0,0.0105990783410138,0.0365111357452383,0,0.0553973595651048,0.0471428571428571
ABCG1,0.0468698517298188,0.275896860986547,0.098085308056872,0.0344632768361582,0.135812672176309,0.155420287361266,0.328334043459736,0.0253012048192771,0.0284906327324143,0.0785122063565177,0.0194477611940299,0.0334738321039691,0.0213603818615752,0.0532678503966755,0,0.0252566735112936,0.0308914996544575,0.0381896551724138,0,0.0125192012288786,0.0321777688199133,0,0.0670463370437484,0
ABHD12,0.0311014356319134,0.047706889523033,0.0724928909952607,0.011864406779661,0.059228650137741,0.489413232384066,0.145121431614827,0.0253012048192771,0.0263697419582892,0.0467296176877015,0.023726368159204,0.0253951527924131,0.00465393794749403,0.0268228182848508,0,0.0211498973305955,0.0384934346924672,0.0312931034482759,0,0.0125192012288786,0.0188753401189156,0,0.0818017085166969,0.0757142857142857
ABHD2,0.0532242880677807,0.109773746432939,0.163488151658768,0.011864406779661,0.0774104683195592,0.594463563623849,0.391819343843204,0.121686746987952,0.0595970307529162,0.0964762782128052,0.118054726368159,0.0608710923779417,0.0476133651551313,0.0940687570834907,0,0.0581108829568788,0.0623358673116793,0.0416379310344828,0,0.13310291858679,0.0545500352715912,0,0.181982914833031,0.247142857142857
ABHD3,0.0296893386679219,0.0211068079902161,0.0201706161137441,0.00621468926553672,0.0421487603305785,0.0280865525251656,0.053941201533873,0.0614457831325301,0.0136443973135384,0.0227775218793183,0.0213383084577114,0.015033368458026,0,0.0294673214960332,0,0.0468172484599589,0.0350380096751901,0.0243965517241379,0.19,0.00599078341013825,0.0348987201451174,0,0.0401242557597722,0.0185714285714286
ABHD5,0.0287479406919275,0.024164288626172,0.025478672985782,0.011864406779661,0.0140495867768595,0.0564785339413232,0.0466979122283767,0.00120481927710843,0.00940261576528809,0.0200138185168125,0.0161641791044776,0.0102915349490692,0.0094272076372315,0.0162448054401209,0,0.00985626283367557,0.0277816171389081,0.0261206896551724,0,0.0117511520737327,0.0141388692935604,0,0.0528086979031841,0
ABHD6,0.0235702518239586,0.0379229514879739,0.0283222748815166,0.00621468926553672,0.028099173553719,0.237670997160802,0.111035364294844,0.0132530120481928,0.0129374337221633,0.0278443113772455,0.0160646766169154,0.0134527572883737,0.00704057279236277,0.0185115224782773,0,0.0149897330595483,0.0125777470628887,0.014051724137931,0,0.00752688172043011,0.0162551647687191,0,0.0240745534558633,0.104285714285714
ABI1,0.0584019769357496,0.0766510395434162,0.0958104265402843,0.0401129943502825,0.0677685950413223,0.216936247096275,0.0927141031103536,0.0493975903614458,0.0514669494521032,0.0669967756794104,0.0480049751243781,0.0466455918510713,0.0285202863961814,0.0604457876841708,0.2,0.0652977412731006,0.0547339322736697,0.105431034482759,0,0.0390168970814132,0.0634183210722564,0,0.117784105617396,0.19
ABI2,0.019333960931984,0.0578984916428863,0.0815924170616114,0.00056497175141243,0.0190082644628099,0.110423298632023,0.108904985087346,0,0.0299045599151644,0.0181713496084754,0.0374577114427861,0.0222339304531085,0.00465393794749403,0.0332451832262939,0,0.0180698151950719,0.0215618521078093,0.0606034482758621,0,0.0390168970814132,0.0245187947193389,0.0380952380952381,0.0779187160238157,0
ABI3BP,0.0108613791480348,0.0245719527109662,0.0148625592417062,0,0.0192837465564738,0.0951088359287619,0.0701320835108649,0.0132530120481928,0.0150583244962884,0.0177107323813911,0.0317860696517413,0.0139796276782578,0,0.0245561012466944,0,0.0129363449691992,0.0191430545957153,0.0123275862068965,0,0.0102150537634409,0.0096039504182203,0,0.0398653895935801,0.0471428571428571
ABL1,0.0179218639679925,0.0520892784345699,0.0848151658767772,0.00056497175141243,0.0231404958677686,0.113692678310247,0.12083510864934,0.0493975903614458,0.0376811594202899,0.0273836941501612,0.0638258706467662,0.0260976466455918,0.0094272076372315,0.0264450321118247,0,0.0273100616016427,0.0212163096060815,0.0468103448275862,0,0.051689708141321,0.023813362894286,0,0.0670463370437484,0
ABL2,0.0334549305718993,0.0638096208724011,0.0523981042654028,0.00056497175141243,0.0316804407713499,0.0960552353093005,0.0552194290583724,0.0253012048192771,0.0295510781194768,0.0269230769230769,0.0276069651741294,0.0217070600632244,0.00704057279236277,0.0385341896486589,0,0.0303901437371663,0.0647546648237733,0.0192241379310345,0,0.008678955453149,0.028146729819611,0.0857142857142857,0.0737768573647424,0.0185714285714286
ABLIM1,0.0452224052718287,0.154209131675499,0.0482274881516588,0.00056497175141243,0.0104683195592286,0.567878344661447,0.231614827439284,0.00120481927710843,0.0401555319901025,0.0232381391064026,0.0180547263681592,0.0143308746048472,0.014200477326969,0.0442009822440499,0,0.0201232032854209,0.0225984796129924,0.014051724137931,0,0.0033026113671275,0.0656353925224226,0,0.249288118042972,0
ABR,0.0249823487879501,0.0644211169995923,0.0605497630331754,0.0740112994350282,0.0415977961432507,0.101561558977889,0.0705581593523647,0.00120481927710843,0.0200070696359138,0.049032703823123,0.0204427860696517,0.0215314365999297,0,0.0294673214960332,0,0.0232032854209446,0.0160331720801659,0.0416379310344828,0,0.0601382488479263,0.0264335382444825,0.0380952380952381,0.0535852964017603,0
