num_cells,cell_type
4249,B cell
9812,Endothelial
5275,Fibroblast
177,Glomerular endothelium
3630,Macrophage
11623,Malignancy A
2347,Malignancy B
83,Mast cell
2829,Mesangial cell
2171,Monocyte
10050,Myofibroblast A
5694,Myofibroblast B
419,Neutrophil
2647,NK cell
5,Pelvic epithelium
974,Plasma
2894,Plasmablast
580,Podocyte
5,Principal cell
2604,Smooth muscle
9923,T cell
21,Transitional urothelium
3863,Tubule
35,Type A intercalated cell
