num_cells,cell_type
30423,Acinar A
3574,Acinar B
798,Active stellate
494,Alpha cells
1032,Beta cells
107,Delta cells
7348,Ductal
4,Epsilon cells
37,Gamma cells
754,Macrophage
2699,Quiescent stellate
