,B cell,Central venous LSEC,Cholangiocyte,Erythroid,Hepatocyte A,Hepatocyte B,Hepatocyte C,Hepatocyte D,Hepatocyte E,Inflammatory macrophage,NK-like cell,Non-inflammatory macrophage,Periportal LSEC,Portal endothelial cells,Stellate cell,T cell CD3 alpha beta,T cell gamma delta
ABCD1,0.0349665924276169,0.047037484885127,0.0634309623430962,0.0749072929542645,0.0375545851528384,0.0510309991696651,0.0647941728286061,0.0657428571428571,0.0374618867227201,0.0567844522968198,0,0.0517041800643087,0.0400687702265372,0.0447154471544715,0.037232448630137,0.0543692660550459,0.040245174752217
ABCE1,0.0171492204899777,0.013180169286578,0.0199163179916318,0.00568603213844252,0.0317715095007671,0.0412053694990313,0.0272707206710076,0.0437428571428571,0.0271135544673381,0.017208480565371,0,0.0105466237942122,0.0141788025889968,0.0365853658536585,0.0162564212328767,0.00528669724770642,0.0318988002086594
ABCG1,0.0438752783964365,0.0506650544135429,0.0215899581589958,0.0106304079110012,0.00474448247374011,0.011313313036258,0.00652245888974726,0.00888571428571428,0.0111290769657212,0.0242756183745583,0,0.0330546623794212,0.0412823624595469,0.0609756097560976,0.0126177226027397,0.0158371559633028,0.0245957224830464
ABHD12,0.0193763919821826,0.0155985489721886,0.04,0.01557478368356,0.0327156851174318,0.0395446996955439,0.0303608873192804,0.0286,0.0252656379931627,0.0143816254416961,0,0.0234083601286174,0.0170105177993528,0.0121951219512195,0.0186108732876712,0.0123967889908257,0.0245957224830464
ABHD2,0.0527839643652561,0.0252720677146312,0.184769874476987,0.0934487021013597,0.187914552106692,0.295979795184058,0.203299856527977,0.137457142857143,0.138358126212695,0.0504240282685512,0.145121951219512,0.0446302250803858,0.0712176375404531,0.00406504065040651,0.0710509417808219,0.0463417431192661,0.0991914449660929
ABHD3,0.0461024498886414,0.0143893591293833,0.0617573221757322,0.0254635352286774,0.0575002950548802,0.0705438693606421,0.0459220836552257,0.0323142857142857,0.0329344913609905,0.0235689045936396,0,0.0189067524115756,0.0210558252427184,0,0.0228916952054795,0.0174426605504587,0.0475482524778299
ABHD5,0.0238307349665924,0.016807738814994,0.0207531380753138,0.00197775030902348,0.0305912899799363,0.0309645723775256,0.0417282860611412,0.0491714285714286,0.0321953247713203,0.058904593639576,0.120731707317073,0.0195498392282958,0.0137742718446602,0.00406504065040651,0.0218214897260274,0.0151490825688073,0.02094418362024
ABHD6,0,0.0313180169286578,0.0165690376569038,0.00321384425216317,0.0530154608757229,0.0654234707998893,0.0715263215980576,0.0660285714285714,0.0516908435738705,0.00519434628975265,0,0.0246945337620579,0.0117516181229773,0.0121951219512195,0.0246040239726027,0.0114793577981651,0.0167709963484611
ABI1,0.135189309576837,0.039782345828295,0.163012552301255,0.057601977750309,0.0460521657028207,0.0737268198173263,0.0740646727734246,0.0700285714285714,0.039494594844313,0.0497173144876325,0.0231707317073171,0.0510610932475884,0.0671723300970874,0.0447154471544715,0.0520012842465753,0.0300573394495413,0.095018257694314
ABI2,0.0349665924276169,0.0301088270858525,0.104435146443515,0.0131025957972806,0.0314174436445179,0.0352546360365347,0.0293676194680499,0.0308857142857143,0.023140534047861,0.0214487632508834,0.0231707317073171,0.0195498392282958,0.0542273462783172,0.00406504065040651,0.0425834760273973,0.0160665137614679,0.0392018779342723
ABI3BP,0.0260579064587973,0,0.0224267782426778,0.0069221260815822,0.00462646052165702,0.000518959313589813,0,0.00145714285714286,0.00031876559179525,0.00872791519434629,0.0231707317073171,0.000900321543408359,0.0376415857605178,0.0121951219512195,0.0691245719178082,0.00666284403669725,0.0105112154407929
ABL1,0.00155902004454343,0.0180169286577993,0.0274476987447699,0.0180469715698393,0.030237224123687,0.042035704400775,0.0340028694404591,0.0451714285714286,0.0249884505220364,0.0136749116607774,0.0475609756097561,0.0111897106109325,0.0234830097087379,0.0203252032520325,0.0233197773972603,0.0114793577981651,0.0204225352112676
ABL2,0.0193763919821826,0.00834340991535671,0.0249372384937239,0.0353522867737948,0.0181989850112121,0.0233531691115417,0.0194349409557444,0.00659999999999999,0.0114986602605562,0.00872791519434629,0.0475609756097561,0.0227652733118971,0.0178195792880259,0,0.00983518835616438,0.00987385321100917,0.0157276995305164
ABLIM1,0.0371937639198218,0.0458282950423217,0.238326359832636,0.022991347342398,0.0174908532987136,0.0499238859673402,0.0369826729941507,0.0446,0.0224013674581909,0.0256890459363958,0.0475609756097561,0.00411575562700964,0.05625,0.0447154471544715,0.0220355308219178,0.00643348623853211,0.0543296817944705
ABR,0,0.0143893591293833,0.0199163179916318,0.0118665018541409,0,0,0,0.00402857142857143,0,0.0150883392226148,0,0.0137620578778135,0.0372370550161812,0,0.00341395547945205,0,0.0365936358894105
ABRAXAS1,0.0371937639198218,0.00350665054413543,0.0349790794979079,0.0118665018541409,0.0230378850466187,0.0244602823138666,0.0248427325902218,0.0328857142857143,0.0212926175736857,0.0214487632508834,0,0.00347266881028939,0.024292071197411,0,0.0160423801369863,0.0135435779816514,0.0219874804381847
ABRAXAS2,0.0171492204899777,0.00713422007255139,0.0157322175732218,0.0316440049443758,0.0259884338486958,0.026120952117354,0.0295883456572122,0.0280285714285714,0.0245264714034926,0.0129681978798587,0,0.015048231511254,0.0226739482200647,0.0447154471544715,0.0162564212328767,0.0156077981651376,0.0245957224830464
ACAA1,0.0639198218262806,0.0446191051995163,0.146276150627615,0.0749072929542645,0.426909005074944,0.480729310822032,0.380653349519921,0.372314285714286,0.382467892451261,0.0702120141342756,0.0475609756097561,0.101221864951768,0.021460355987055,0.00406504065040651,0.117925941780822,0.0598738532110092,0.0908450704225352
ACACA,0.0438752783964365,0.0639661426844015,0.0692887029288703,0.0477132262051916,0.141885990794288,0.256677276501522,0.300750469043152,0.344314285714286,0.148336875173242,0.0292226148409894,0.0231707317073171,0.0562057877813505,0.0380461165048544,0.0284552845528455,0.0789704623287671,0.0935894495412844,0.0731090245174752
