num_cells,cell_type
449,B cell
827,Central venous LSEC
1195,Cholangiocyte
809,Erythroid
8473,Hepatocyte A
7226,Hepatocyte B
9061,Hepatocyte C
3500,Hepatocyte D
10823,Hepatocyte E
1415,Inflammatory macrophage
41,NK-like cell
1555,Non-inflammatory macrophage
2472,Periportal LSEC
123,Portal endothelial cells
4672,Stellate cell
4360,T cell CD3 alpha beta
1917,T cell gamma delta
